subj,block,trial,reach_dur_s,grasp_dur_s,pull_dur_s,mvt_dur_s,peak_reach_vel,peak_pull_vel,reach_beta_db,grip_beta_db,reach_lowbeta_db,reach_highbeta_db
wue03,3,9,1.59,1.265,1.5575,4.4125,0.265508470470709,0.301047573144649,1.411849,3.281052,1.901831,1.365595
wue03,3,10,1.55,1.3075,1.325,4.1825,0.292742122561986,0.340301898055574,1.230767,2.950612,1.8798,1.247765
wue05,1,1,1.135,0.5075,0.9225,2.565,0.610625462094171,0.801622712430987,-1.018581,2.079763,-1.964192,-0.03206003
wue05,1,2,1.07,0.29,0.9925,2.3525,0.66457825043154,0.63603961853948,-0.2182894,-1.779473,0.01780561,1.038542
wue05,1,3,1.035,0.58,0.94,2.555,0.618093145665942,0.615946454199312,-0.8873911,-1.426017,-1.750148,-0.04344616
wue05,1,4,1.09,0.56,0.9325,2.5825,0.608932110499164,0.601248251222603,-0.7797656,-0.07035065,-0.008324617,-1.289449
wue05,1,5,1.33,0.155,1.1475,2.6325,0.616180045396007,0.538815702518381,0.1628068,-0.1359553,-1.430168,2.001413
wue05,1,6,0.975,0.5075,1.1425,2.625,0.665044093690401,0.519467114341737,-3.302939,0.1747147,-4.982141,-1.904779
wue05,1,7,1.0225,0.7175,1.12,2.86,0.608297751627872,0.578442934772079,-0.4652829,-0.4996545,-0.5040456,-0.04243494
wue05,1,8,1.095,0.6525,0.9675,2.715,0.602932595211364,0.608065068022474,-2.064431,-2.749277,-2.812735,-1.253503
wue05,1,9,1.4075,0.165,1.0925,2.665,0.603532847718622,0.607863051592737,-0.3201686,-0.470317,-1.779703,0.7752334
wue05,1,10,1.35,0.22,0.965,2.535,0.584887686550532,0.621428402151254,0.05705624,1.602416,0.3113519,-0.3255077
wue05,1,11,1.2875,0.5325,1.08,2.9,0.602902945168887,0.548621907792811,-0.956309,-1.400985,-1.405388,1.60377
wue05,2,1,0.8675,0.1925,1.3225,2.3825,0.649022304345888,0.679813557377974,-0.5691746,0.4579381,-0.1479429,-0.5941335
wue05,2,2,0.985,0.6225,1.3475,2.955,0.616921206031966,0.558060484908782,0.3573808,-1.12228,-1.034362,2.225292
wue05,2,3,1.075,0.4025,1.135,2.6125,0.586001772630328,0.514997342251609,3.076801,2.823121,3.867566,2.142764
wue05,2,4,0.9375,0.5225,1.15,2.61,0.633707347061901,0.551791036839845,4.682074,1.814971,3.160644,6.689318
wue05,2,5,1.1275,0.545,1.1,2.7725,0.589610659444402,0.517507849174127,2.894164,-0.4851773,3.86256,2.152183
wue05,2,6,1.065,0.54,1.075,2.68,0.64401462430075,0.511099436201824,0.9003062,1.263335,1.184032,1.272156
